,name,rating,location,price
376,Habitat Apartments ADN,8.0,"Creu Coberta, 87, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,870"
377,Enjoy Apartments Calabria,9.0,"Calabria, 110, Eixample, 08015 Barcelona, Spain","€ 2,022"
378,Alba Hotel,7.1,"Hospital, 83, Ciutat Vella, 08001 Barcelona, Spain","€ 1,490"
379,Arya Stadium Hotel,8.7,"CARRER DE SANTS 383, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,269"
380,Habitat Apartments Blanca,7.4,"Riera blanca 119, 08028 Barcelona, Spain","€ 1,544"
381,BCN Rambla Catalunya Apartments,8.8,"Rambla Catalunya, 101- 103, Eixample, 08008 Barcelona, Spain","€ 2,962"
382,Habitat Apartments Hot Jazz,8.5,"Carrer de la Industria 207, Sant Martí, 08041 Barcelona, Spain","€ 1,808"
383,Cosmopolitan Boutique Rambla,8.3,"Rambla Catalunya, 102, Eixample, 08008 Barcelona, Spain","€ 1,597"
384,Wander by Pillow,8.0,"Carrer de Montserrat 13, 4o, Ciutat Vella, 08001 Barcelona, Spain","€ 1,589"
385,Authentic flat2 in Poble sec - Paralelo,8.6,"Carrer Nou de la Rambla, 152, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,202"
386,Habitat Apartments Plaza España Urban,6.9,"25 Carrer del Farell, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,773"
387,Modern and bright apartment in Eixample 4-2,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 2,265"
388,Limonaia,8.4,"Rosselló, 242, Eixample, 08008 Barcelona, Spain","€ 1,238"
389,NiM Eixample 5,6.8,"Aribau, 100, Eixample, 08036 Barcelona, Spain","€ 1,853"
390,Lodging Apartments Gaudi Views,9.3,"Carrer de Lepant 279, Eixample, 08013 Barcelona, Spain","€ 2,462"
391,Sant Pau Terraces Apartments,8.9,"Sant Antoni Maria Claret, 234-236, 08025 Barcelona, Spain","€ 1,877"
392,Liceu Apartments by gaiarooms,7.4,"10 Carrer del Carme, Ciutat Vella, 08001 Barcelona, Spain","€ 1,885"
393,ApartEasy - Gracia Apartments,7.1,"Santa Tecla, 3, Gràcia, 08012 Barcelona, Spain","€ 1,896"
394,Lodging Apartments Sagrada Familia,7.4,"Different Locations, Eixample, 08025 Barcelona, Spain","€ 1,392"
395,Apartment Adele,,"177 Avinguda del Paral·lel, Sants-Montjuïc, 08004 Barcelona, Spain","€ 3,268"
396,Hotel Alguer Camp Nou,8.0,"Passatge Pere Rodríguez, 20, Les Corts, 08028 Barcelona, Spain",€ 883
397,Sonder Los Arcos,10,"4 Carrer Nou de Zurbano, Ciutat Vella, 08002 Barcelona, Spain","€ 2,367"
398,Durlet Beach Apartments,8.7,"Calle Perelló 27, Sant Martí, 08005 Barcelona, Spain","€ 1,757"
399,Paseo de Gracia Bas Apartments by Aspasios,9.1,"Diputació, 268, Eixample, 08009 Barcelona, Spain","€ 2,523"
400,Enjoy Apartments Calabria,9.0,"Calabria, 110, Eixample, 08015 Barcelona, Spain","€ 2,022"
401,Habitat Apartments Plaza España Urban,6.9,"25 Carrer del Farell, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,636"
402,Barcelona City North Hostal,7.7,"Saragossa, 95-97. Entlo 2ª, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,601"
403,Modern and bright apartment in Eixample 4-2,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 2,159"
404,Lumine Luxury Suites by gaiarooms,7.3,"129 Carrer de Balmes, Eixample, 08008 Barcelona, Spain","€ 1,697"
405,Modern and bright Duplex apartment in Eixample 4-3,8.7,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 2,180"
406,Vivobarcelona Apartments Princep,8.7,"Princep Jordi, 14, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,856"
407,Abba Rambla Hotel,8.3,"Rambla del Raval, 4 C, Ciutat Vella, 08001 Barcelona, Spain","€ 1,584"
408,Sonder Le Palacete,8.0,"Carrer Legalitat, 10, Gràcia, 08024 Barcelona, Spain","€ 2,377"
409,Aparthotel Augusta,8.5,"Lincoln, 32-34, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,668"
410,Bright apartment close to congress center & port,6.7,"Avinguda de Les Corts Catalanes 2, Sant Martí, 08020 Barcelona, Spain",€ 922
411,CIUDAD CONDAL Hostal - Paseo de Gracia,7.2,"Mallorca, 255, Eixample, 08008 Barcelona, Spain","€ 1,976"
412,AB Paral·lel Spacious Apartments,7.0,"Avinguda Paral·lel, 75, 1º, Sants-Montjuïc, 08004 Barcelona, Spain","€ 2,752"
413,You Stylish Sagrada Familia Apartments,9.0,"503 Carrer de Provença, Eixample, 08025 Barcelona, Spain","€ 1,978"
414,Casa Lit Barcelona by Ona Hotels,8.1,"Arc del Teatre, 58, Ciutat Vella, 08001 Barcelona, Spain","€ 1,547"
415,Habitat Apartments Cool Jazz,7.9,"Industria, 213, Sant Martí, 08041 Barcelona, Spain","€ 1,704"
416,Ola Living Aribau Apartments,8.1,"Carrer d´Aribau 226, Entresuelo Esc. Derecha, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 3,076"
417,H10 Raco del Pi,8.7,"Carrer del Pi, 7, Ciutat Vella, 08002 Barcelona, Spain","€ 2,008"
418,"Hotel Indigo Barcelona - Plaza Catalunya, an IHG Hotel",7.9,"Gran Via de las Corts Catalanes, 629, Eixample, 08010 Barcelona, Spain","€ 1,871"
419,Hostal Hera,8.0,"Rera Palau, 4, Ciutat Vella, 08003 Barcelona, Spain","€ 1,084"
420,Stay U-nique Apartments Consell,8.0,"C/ Consell de Cent 200, Eixample, 08011 Barcelona, Spain","€ 3,043"
421,Fisa Rentals Les Corts Apartments,8.5,"Carrer del Marques de Sentmenat, 84, Les Corts, 08029 Barcelona, Spain","€ 1,868"
422,Home to Home Barcelona,8.4,"Sant Fructuós, 37, Sants-Montjuïc, 08004 Barcelona, Spain","€ 2,825"
423,Mayerling Abamita Apartments,8.5,"Calle Ausias March, 25, Eixample, 08010 Barcelona, Spain","€ 2,697"
424,BacHome Gallery B&B,8.8,"Bruc, 96, Eixample, 08009 Barcelona, Spain","€ 1,636"
425,ApartEasy - Turo Park with lovely balcony,8.0,"Avenir, 69, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,658"
426,Aparthotel Napols - Abapart,8.2,"Nàpols, 116, Eixample, 08013 Barcelona, Spain","€ 1,624"
427,Hotel Lyon,7.2,"General Castaños, 6, Ciutat Vella, 08003 Barcelona, Spain","€ 1,131"
428,Magnificent and Massive 5 Bedroom Family Apartment and Terrace,9.0,"Carrer de la Diputació 123, Eixample, 08015 Barcelona, Spain","€ 4,645"
429,Barcelona Hotel Colonial,8.3,"Via Layetana, 3, Ciutat Vella, 08003 Barcelona, Spain","€ 1,673"
430,Hotel Barcelona Center,8.6,"Balmes, 103-105, Eixample, 08008 Barcelona, Spain","€ 1,848"
431,Hotel Midmost by Majestic Hotel Group,8.5,"Pelayo, 14, Ciutat Vella, 08001 Barcelona, Spain","€ 1,867"
432,Ella Hostel Ramblas,8.2,"6 Carrer dels Tallers, Ciutat Vella, 08001 Barcelona, Spain","€ 1,078"
433,ApartEasy - Montjuïc & Fira,5.9,"43 Carrer de l'Olivera, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,684"
434,Hostal Argo,7.5,"Valencia, 305 Principal, Eixample, 08009 Barcelona, Spain","€ 1,094"
435,Hostal Live Natura Barcelona,8.1,"Roger de Llúria 33 Principal 2º, Eixample, 08009 Barcelona, Spain","€ 1,217"
436,Apartamentos Laforja,7.5,"Laforja, 128, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,248"
437,Pestana Arena Barcelona,8.4,"Consell de Cent, 51-53, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,726"
438,Mayerling Schumann Barcelona,7.9,"BRUC 16 BLOC ESC-1 PRAL-1, BARCELONA, Eixample, 08010 Barcelona, Spain","€ 2,353"
439,Hotel Everest,8.0,"Carrer Travessera de Gràcia, 441-443, Horta-Guinardó, 08025 Barcelona, Spain","€ 1,046"
440,Hotel Gótico,8.3,"Jaime I, 14, Ciutat Vella, 08002 Barcelona, Spain","€ 1,673"
441,The Loft Hostel,8.0,"Provença, 318, Eixample, 08037 Barcelona, Spain","€ 2,070"
442,Apartaments Aragó565,7.9,"Aragó, 565, Sant Martí, 08026 Barcelona, Spain","€ 1,453"
443,Stay Together Barcelona Apartments,9.5,"Ronda Sant Pau 1, Eixample, 08015 Barcelona, Spain","€ 3,661"
444,Hotel America Barcelona,8.5,"Provenza, 195, Eixample, 08008 Barcelona, Spain","€ 1,596"
445,Habitat Apartments Eixample Balconies.,7.6,"Còrsega, 244 1-1, Eixample, 08036 Barcelona, Spain","€ 2,306"
446,Enjoybcn Patio de Gracia,8.2,"Via Augusta, 58 - 60, Gràcia, 08006 Barcelona, Spain","€ 2,113"
447,Tendency Apartments 5,7.6,"Paseo de Gracia, 44, Eixample, 08007 Barcelona, Spain","€ 2,937"
448,Alguera Apartments Industria,8.2,"Indústria, 201-203, Sant Martí, 08041 Barcelona, Spain","€ 2,880"
449,Vincci Bit,8.4,"Josep Pla, 69, Sant Martí, 08019 Barcelona, Spain","€ 2,105"
450,Hotel Everest,8.0,"Carrer Travessera de Gràcia, 441-443, Horta-Guinardó, 08025 Barcelona, Spain","€ 1,046"
451,ApartEasy - Turo Park with lovely balcony,8.0,"Avenir, 69, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,609"
452,Aparthotel Napols - Abapart,8.2,"Nàpols, 116, Eixample, 08013 Barcelona, Spain",€ 986
453,Hostal Live Natura Barcelona,8.1,"Roger de Llúria 33 Principal 2º, Eixample, 08009 Barcelona, Spain","€ 1,217"
454,Apartamentos Laforja,7.5,"Laforja, 128, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,266"
455,Mayerling Schumann Barcelona,7.9,"BRUC 16 BLOC ESC-1 PRAL-1, BARCELONA, Eixample, 08010 Barcelona, Spain","€ 2,353"
456,Hotel Gótico,8.3,"Jaime I, 14, Ciutat Vella, 08002 Barcelona, Spain","€ 1,787"
457,The Loft Hostel,8.0,"Provença, 318, Eixample, 08037 Barcelona, Spain","€ 2,070"
458,Ella Hostel Ramblas,8.2,"6 Carrer dels Tallers, Ciutat Vella, 08001 Barcelona, Spain","€ 1,095"
459,Apartaments Aragó565,7.9,"Aragó, 565, Sant Martí, 08026 Barcelona, Spain","€ 1,527"
460,Tendency Apartments 5,7.6,"Paseo de Gracia, 44, Eixample, 08007 Barcelona, Spain","€ 2,937"
461,Habitat Apartments Eixample Balconies.,7.6,"Còrsega, 244 1-1, Eixample, 08036 Barcelona, Spain","€ 2,306"
462,Stay Together Barcelona Apartments,9.5,"Ronda Sant Pau 1, Eixample, 08015 Barcelona, Spain","€ 3,483"
463,Alguera Apartments Industria,8.2,"Indústria, 201-203, Sant Martí, 08041 Barcelona, Spain","€ 2,880"
464,Putxet by gaiarooms,5.4,"Ballester 11-13, Sarrià-St. Gervasi, 08023 Barcelona, Spain","€ 1,515"
465,Enjoybcn Patio de Gracia,8.2,"Via Augusta, 58 - 60, Gràcia, 08006 Barcelona, Spain","€ 2,176"
466,Hotel Medinaceli,8.0,"Duc De Medinaceli, 8, Ciutat Vella, 08002 Barcelona, Spain","€ 1,647"
467,ClassBedroom Eixample Free Apartments,8.2,"Different Locations, Eixample, 08036 Barcelona, Spain","€ 2,122"
468,Arenas Atiram Hotels,8.0,"Capitan Arenas 20, Les Corts, 08034 Barcelona, Spain","€ 1,176"
469,Habitat Apartments Alaia,8.0,"119 Carrer de Balmes, Eixample, 08008 Barcelona, Spain","€ 1,629"
470,Lodging Apartments City Center-Eixample,8.4,"Aragó, 373, Eixample, 08009 Barcelona, Spain","€ 1,898"
471,Hostal Mayerling Centro,7.6,"22 Ronda de Sant Pere, Eixample, 08010 Barcelona, Spain","€ 1,824"
472,Rent Top Apartments Forum,8.2,"Avenida Eduard Maristany 21 , 08930 Barcelona, Spain","€ 2,839"
473,SmartRoom Barcelona,8.3,"Olzinelles 56-58, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,480"
474,Hotel Toledano Ramblas,6.9,"La Rambla, 138, Ciutat Vella, 08002 Barcelona, Spain","€ 1,005"
475,Casa Cosi Don Bajos,,"Francolí, 55, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 2,571"
476,Elegant 3-bedroom Apartment in the Heart of BCN,,"Ronda de Sant Pere, 33, Eixample, 08010 Barcelona, Spain","€ 3,612"
477,Enjoybcn Patio de Gracia,8.2,"Via Augusta, 58 - 60, Gràcia, 08006 Barcelona, Spain","€ 2,144"
478,Easy Sants by Bossh!,6.9,"Del Vallespir 34, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,718"
479,3-bedroom penthouse with terrace in Eixample,,"Carrer de València, 238, Eixample, 08007 Barcelona, Spain","€ 3,244"
480,Uma Suites Pau Claris,9.0,"72 Carrer de Pau Claris, Eixample, 08010 Barcelona, Spain","€ 2,100"
481,Casa Cosi Sant Antoni,8.3,"Comte Borrell, 65, Eixample, 08015 Barcelona, Spain","€ 1,649"
482,Primero Primera,9.3,"Doctor Carulla, 25, Sarrià-St. Gervasi, 08017 Barcelona, Spain","€ 1,861"
