,name,rating,location,price
943,Ático Plaza Mayor,7.1,"Calle Postas 11, Centro, 28012 Madrid, Spain","€ 1,324"
944,Callao One,8.8,"Plaza del Callao 1, Centro, 28013 Madrid, Spain","€ 2,205"
945,"Apartamento Madrid, 1 dormitorio, 2 personas - ES-183-2",,"ZURITA 45, Centro, 28013 Madrid, Spain","€ 1,021"
946,Luminoso y amplio apartamento en Ópera,,"4 Calle de la Unión, Centro, 28013 Madrid, Spain","€ 1,475"
947,Cozy&NEW apartment para 6pax en la Plaza de Tirso,,"5 Plaza de Tirso de Molina, Centro, 28012 Madrid, Spain","€ 1,914"
948,"vip PUERTA DEL SOL, by MONARO*****",9.7,"Calle de la Montera, Centro, 28013 Madrid, Spain","€ 4,474"
949,Acogedor apt 3 habitaciones y terraza en el centro,8.8,"77 Calle de Toledo 1E EXT, Centro, 28005 Madrid, Spain","€ 1,919"
950,Apartamento en el centro la ciudad,,"12 Calle de Barcelona 2º 1, Centro, 28012 Madrid, Spain","€ 1,083"
951,Barco Boutique,7.5,"Calle del Barco, 23, Centro, 28004 Madrid, Spain","€ 1,357"
952,BNBHolder Charming Duplex Attic SOL,8.0,"Calle de Cádiz, Centro, 28012 Madrid, Spain","€ 1,854"
953,Big Apartment in Plaza Mayor in Madrid Spain,8.0,"2 Calle de Toledo, Centro, 28005 Madrid, Spain","€ 4,855"
954,Fuencarral V,7.5,"5 Calle de Fuencarral, Centro, 28004 Madrid, Spain","€ 2,970"
955,MIT House Tirso III en Madrid,7.0,"Meson de Paredes 8, 3º Izquierda, 8, Centro, 28012 Madrid, Spain","€ 3,085"
956,dobohomes - Gran Via Apartments,,"61 Calle Gran Vía, Centro, 28013 Madrid, Spain","€ 2,682"
957,El Laurel de Pizarro,5.4,"Pizarro, Centro, 28004 Madrid, Spain","€ 1,493"
958,Stunning & Bright 1BD 1BTH–CITY CENTER (GRAN VIA),8.2,"17 Calle de la Aduana, Centro, 28013 Madrid, Spain","€ 1,214"
959,Charming Argensola Center,7.1,"10 Calle Argensola, Centro, 28004 Madrid, Spain","€ 1,280"
960,Smartrental Collection Gran Vía Centric,8.8,"42 Calle Gran Vía, Centro, 28013 Madrid, Spain","€ 1,171"
961,BNBHolder The Superb SOL,8.3,"Calle de Núñez de Arce, Centro, 28012 Madrid, Spain","€ 3,172"
962,Genial Apartamento en La Latina Centro de Madrid,,"77 Calle de Toledo, Centro, 28005 Madrid, Spain","€ 1,974"
963,BNBHolder Black & Yellow Design SOL,8.5,"Calle de los Jardines, Centro, 28013 Madrid, Spain","€ 2,443"
964,Enorme y acogedor piso en la puerta del sol,9.0,"Tetuán, 22, 2 izqda, Centro, 28013 Madrid, Spain","€ 2,950"
965,LA LATINA VII,7.4,"Travesia del Almendro, Centro, 28005 Madrid, Spain","€ 1,425"
966,Apartamento con encanto en ópera,8.7,"Fomento 12 1º C Intº, Centro, 28013 Madrid, Spain","€ 1,317"
967,Cibeles I,8.4,"Victor Hugo, Centro, 28004 Madrid, Spain","€ 1,508"
968,Cozy 2Bed2Bath&Patio w BedBath in Mdrd's Center,6.0,"Centro, 28013 Madrid, Spain","€ 2,172"
969,Apartamentos Day Madrid VALVERDE Centro Gran Via Sol Malasaña,6.5,"Calle Valverde 3 Piso 3, Centro, 28020 Madrid, Spain",€ 939
970,Gran apartamento de diseño @plazasanmiguel *lujo*,9.0,"Plaza San Miguel, 9, 3dcha, Centro, 28005 Madrid, Spain","€ 2,510"
971,Acogedor apt 3 habitaciones y terraza en el centro,8.8,"77 Calle de Toledo 1E EXT, Centro, 28005 Madrid, Spain","€ 1,979"
972,Condo San Bernardino by Kivoya,8.0,"C/ San Bernardino 5, Centro, 28015 Madrid, Spain","€ 2,661"
973,Ático Plaza Mayor,7.1,"Calle Postas 11, Centro, 28012 Madrid, Spain","€ 1,345"
974,BNBHolder Vintage & Deluxe LATINA,8.1,"San Cayetano, Centro, 28005 Madrid, Spain","€ 2,429"
975,Bright Centric Studio in La Latina,,"Centro, 28005 Madrid, Spain","€ 1,100"
976,BNBHolder Bohème SOL,8.3,"Calle Zaragoza, Centro, 28012 Madrid, Spain","€ 1,818"
977,MIT House Tirso Loft en Madrid,6.0,"Meson de Paredes, IZQ, 11, Centro, 28012 Madrid, Spain","€ 4,470"
978,Modern Apartment in Toledo Street by Batuecas,6.5,"Calle de Toledo, 74, Centro, 28005 Madrid, Spain","€ 1,606"
979,Malasaña Boutique,7.2,"Calle de la Luna No. 12 , Centro, 28004 Madrid, Spain","€ 1,690"
980,Malasaña Center by Madflats Collection,9.3,"27 Calle de Valverde, Centro, 28004 Madrid, Spain","€ 1,490"
981,MAYOR SQUARE by MONARO*****,9.1,"11 Cava de San Miguel 2izq, Centro, 28005 Madrid, Spain","€ 4,407"
982,BNBHolder SKY OF MADRID es MIA,8.5,"Calle de Pizarro, Centro, 28004 Madrid, Spain","€ 3,577"
983,Molino Malasaña by Madflats Collection,8.9,"6 Calle del Molino de Viento , Centro, 28004 Madrid, Spain","€ 1,389"
984,CH Plaza D'Ort Rooms Madrid,5.5,"Plaza del Angel, 13 - 1º,2º-4º, Centro, 28012 Madrid, Spain","€ 3,577"
