,name,rating,location,price
408,AinB Sagrada Familia Apartments,7.7,"Sicilia, 109, Eixample, 08013 Barcelona, Spain","€ 1,875"
409,AinB B&B Eixample-Muntaner,6.2,"Muntaner, 4, Eixample, 08011 Barcelona, Spain",€ 976
410,Eixample 19,,"222 Carrer de Provença, Eixample, 08036 Barcelona, Spain","€ 1,882"
411,Hostal Parisien,6.5,"LA RAMBLAS 114 LA RAMBLAS 114, Ciutat Vella, 08002 Barcelona, Spain",€ 549
412,Apartment Adele,,"177 Avinguda del Paral·lel, Sants-Montjuïc, 08004 Barcelona, Spain","€ 2,508"
413,Hotel Monegal,7.4,"Pelai, 62, Ciutat Vella, 08001 Barcelona, Spain","€ 1,188"
414,Hostal Hera,8.0,"Rera Palau, 4, Ciutat Vella, 08003 Barcelona, Spain",€ 956
415,Charming Flats by Aspasios,8.3,"Calabria, 5, Eixample, 08015 Barcelona, Spain","€ 1,163"
416,H10 Raco del Pi,8.7,"Carrer del Pi, 7, Ciutat Vella, 08002 Barcelona, Spain","€ 1,648"
417,Hostal Argo,7.5,"Valencia, 305 Principal, Eixample, 08009 Barcelona, Spain",€ 885
418,Majestic Hotel & Spa Barcelona GL,8.5,"Passeig de Gracia, 68, Eixample, 08007 Barcelona, Spain","€ 2,472"
419,Arenas Atiram Hotels,8.0,"Capitan Arenas 20, Les Corts, 08034 Barcelona, Spain",€ 979
420,Modern and bright Duplex apartment in Eixample 4-3,8.7,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 1,924"
421,Hg City Suites Barcelona Apartments,8.8,"89 Via Augusta, Sarrià-St. Gervasi, 08006 Barcelona, Spain",€ 922
422,BBARCELONA - FIRA SUPERIOR FLAT,8.1,"Carrer de Sant Paulí de Nola 3, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,984"
423,Hotel Gótico,8.3,"Jaime I, 14, Ciutat Vella, 08002 Barcelona, Spain","€ 1,459"
424,Palau de la Musica Apartments,7.9,"Jonqueres, Ciutat Vella, 08002 Barcelona, Spain","€ 2,478"
425,Modern and bright apartment in Eixample 2-1,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 1,809"
426,Rooms Aribau,6.8,"Carrer d'Aribau, 84, Eixample, 08036 Barcelona, Spain",€ 396
427,Hotel Everest,8.0,"Carrer Travessera de Gràcia, 441-443, Horta-Guinardó, 08025 Barcelona, Spain",€ 928
428,ApartEasy - Central Gracia Apartments,7.6,"Carrer Santa Tecla, 3, 08012 Barcelona, España., Gràcia, 08012 Barcelona, Spain","€ 2,074"
429,Hostal Fernando,8.3,"Ferran, 31, Ciutat Vella, 08002 Barcelona, Spain",€ 936
430,Lodging Apartments Sagrada Familia,7.4,"Different Locations, Eixample, 08025 Barcelona, Spain","€ 1,756"
431,The Lonely Chimney Apartments,7.7,"Juan de Austria, Sant Martí, 08005 Barcelona, Spain","€ 2,241"
432,Alguera Apartments Industria,8.2,"Indústria, 201-203, Sant Martí, 08041 Barcelona, Spain","€ 1,950"
433,Stay Together Barcelona Apartments,9.5,"Ronda Sant Pau 1, Eixample, 08015 Barcelona, Spain","€ 2,618"
434,Suite Place Barcelona Diputació,8.1,"Carrer de la Diputació 354, Eixample, 08013 Barcelona, Spain","€ 1,707"
