,name,rating,location,price
963,BNBHolder EL RETIRO es MIA,8.7,"Calle de Pizarro, Centro, 28004 Madrid, Spain","€ 1,888"
964,My City Home - Encantador apartamento en SOL VII,7.4,"1 Calle de Esparteros, Centro, 28013 Madrid, Spain",€ 981
965,BNBHolder Friendly La Latina,7.5,"Calle de Embajadores, Centro, 28012 Madrid, Spain","€ 1,125"
966,Juan close to the gran via,6.1,"Calle Juanelo , Centro, 28005 Madrid, Spain",€ 566
967,Nice apartment center 2 pax PLAZA SANTA ANA III,10,"C/ Prado, Centro, 28014 Madrid, Spain","€ 1,038"
968,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-21",,"TOLEDO 87, Centro, 28013 Madrid, Spain","€ 1,217"
969,HomeAbroad Apartments - Super Deluxe Madrid Center,9.5,"Calle del Duque de Alba, Centro, 28012 Madrid, Spain","€ 6,548"
970,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-4",,"LOPE DE VEGA 13, Centro, 28013 Madrid, Spain","€ 1,164"
971,"Cozy apartamento en La Latina, el centro de Madrid",7.0,"77 Calle de Toledo 3B INT, Centro, 28005 Madrid, Spain","€ 1,647"
972,"Apartamento Madrid, 3 dormitorios, 7 personas - ES-183-72",,"AVE MARIA 40, Centro, 28013 Madrid, Spain","€ 1,305"
973,Huertas IV,10,"Calle Amor de Dios, Centro, 28014 Madrid, Spain",€ 969
974,Estudio Puerta del Sol Esparteros,7.9,"Esparteros, 4, Centro, 28012 Madrid, Spain",€ 592
975,"Apartamento Madrid, 3 dormitorios, 7 personas - ES-183-72",,"AVE MARIA 40, Centro, 28013 Madrid, Spain","€ 1,305"
976,Magnifico piso en La Latina con vistas a Madrid,6.0,"Calle de Toledo 77 6D INTERIOR, Centro, 28005 Madrid, Spain","€ 1,647"
977,Nuevo apt de7p en C/ Mayor 11 en la Puerta del Sol,10,"11 Calle Mayor, Centro, 28012 Madrid, Spain","€ 1,870"
978,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-4",,"LOPE DE VEGA 13, Centro, 28013 Madrid, Spain","€ 1,164"
979,C/Huertas- El corazón de Madrid,8.6,"Calle de las Huertas 4, Centro, 28012 Madrid, Spain",€ 924
980,BNBHolder Apartamentos en Sol Confort 8,9.5,"Puerta del Sol, Centro, Madrid, Spain","€ 1,351"
981,Cozy apartment for 2 City center MADERA I,9.0,"Calle Madera, Centro, 28004 Madrid, Spain","€ 1,080"
982,Apartamentos Day Madrid MOLINO Centro Gran Via Sol Malasaña,5.3,"Calle del Molino de Viento 7, Centro, 28004 Madrid, Spain",€ 873
983,Apartamentos Principe 7,8.7,"7 Calle del Príncipe, Centro, 28012 Madrid, Spain",€ 836
984,Precioso Apartamento Preciados PRE5B,7.6,"10 Calle de Preciados 5ºB, Centro, 28013 Madrid, Spain",€ 943
985,My City Home Estudio en Malasaña,7.5,"Calle de la Palma nº 51, p1, A, Centro, 28004 Madrid, Spain",€ 971
